@relation data_mipa_lulus
@attribute JK{L,P}
@attribute JUR{BIO,FISIKA,IF,MTK}
@attribute GAJI_ORTU{G1,G2,G3,G4,G5,G6,G7}
@attribute PDK_IBU{LL,SD,SMP,SMTA,SRJN}
@attribute PEK_IBU{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute PEK_AYAH{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute SKS_S1{SKS1_B,SKS1_C,SKS1_K,SKS1_SB}
@attribute SKS_S2{SKS2_B,SKS2_C,SKS2_K,SKS2_SB}
@attribute IP_S1{IPS1_CUM,IPS1_KM,IPS1_M,IPS1_SM}
@attribute IP_S2{IPS2_CUM,IPS2_KM,IPS2_M,IPS2_SM}
@attribute STATUS_LULUS{LC,LLW_1,LLW_2,LTW}
@data
"P","FISIKA","G3","SMTA","PDG","PNS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LTW"
"L","FISIKA","G2","SD","BPN","BPN","SKS1_B","SKS2_C","IPS1_KM","IPS2_KM","LLW_2"
"L","FISIKA","G1","SMP","PDG","PNS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LTW"
"P","FISIKA","G3","SRJN","GRD","GRD","SKS1_B","SKS2_B","IPS1_M","IPS2_KM","LLW_1"
"P","FISIKA","G3","SRJN","GRD","PS","SKS1_B","SKS2_C","IPS1_KM","IPS2_KM","LLW_1"
"L","FISIKA","G3","SMTA","BPN","PS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"L","FISIKA","G3","SMP","BPN","BPN","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"L","FISIKA","G1","LL","LL","LL","SKS1_B","SKS2_K","IPS1_KM","IPS2_KM","LLW_2"
"P","FISIKA","G1","SD","BPN","BPN","SKS1_B","SKS2_B","IPS1_KM","IPS2_M","LLW_1"
"L","FISIKA","G3","SMTA","LL","PNS","SKS1_K","SKS2_B","IPS1_KM","IPS2_KM","LTW"
"P","FISIKA","G3","SRJN","GRD","GRD","SKS1_B","SKS2_C","IPS1_KM","IPS2_KM","LLW_1"
"P","FISIKA","G5","SRJN","GRD","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"L","FISIKA","G1","SMTA","LL","BPN","SKS1_B","SKS2_B","IPS1_M","IPS2_KM","LLW_1"
"L","FISIKA","G3","SRJN","GRD","GRD","SKS1_B","SKS2_C","IPS1_KM","IPS2_SM","LTW"
"P","FISIKA","G1","SMP","LL","LL","SKS1_B","SKS2_C","IPS1_KM","IPS2_M","LLW_1"
"L","FISIKA","G2","SD","BPN","BPN","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_2"
"L","FISIKA","G1","LL","BPN","BPN","SKS1_B","SKS2_B","IPS1_SM","IPS2_M","LLW_1"
"P","FISIKA","G3","SMTA","PDG","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_M","LTW"
"P","FISIKA","G1","SMTA","PS","BPN","SKS1_B","SKS2_B","IPS1_SM","IPS2_SM","LC"
"P","FISIKA","G2","SMP","BPN","LL","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LTW"
"P","FISIKA","G3","LL","LL","PSN","SKS1_B","SKS2_B","IPS1_SM","IPS2_SM","LTW"
"P","FISIKA","G3","SMP","LL","LL","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"L","FISIKA","G3","SRJN","LL","GRD","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"L","FISIKA","G4","SRJN","GRD","PS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"P","FISIKA","G1","SD","LL","BPN","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"P","FISIKA","G2","SD","LL","PS","SKS1_B","SKS2_B","IPS1_CUM","IPS2_CUM","LTW"
"P","FISIKA","G2","LL","LL","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"P","FISIKA","G3","SD","PDG","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_2"
"L","FISIKA","G3","SMTA","LL","GRD","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"P","FISIKA","G2","SD","LL","LL","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"P","FISIKA","G4","SMTA","LL","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_2"
"L","FISIKA","G2","SMP","LL","GRD","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"P","FISIKA","G3","SRJN","GRD","GRD","SKS1_B","SKS2_B","IPS1_M","IPS2_M","LTW"
"L","FISIKA","G3","SMTA","LL","GRD","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"P","FISIKA","G3","SRJN","GRD","LL","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"P","FISIKA","G3","SMP","LL","PS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"L","FISIKA","G3","SMTA","GRD","GRD","SKS1_B","SKS2_B","IPS1_M","IPS2_KM","LLW_1"
"L","FISIKA","G2","SD","BPN","PSN","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"P","FISIKA","G1","SMTA","LL","PDG","SKS1_B","SKS2_B","IPS1_M","IPS2_M","LTW"
"P","FISIKA","G2","SMP","PS","PS","SKS1_B","SKS2_B","IPS1_KM","IPS2_M","LLW_1"
"P","FISIKA","G2","SD","PDG","GRD","SKS1_B","SKS2_B","IPS1_KM","IPS2_M","LTW"
"L","FISIKA","G3","SRJN","GRD","GRD","SKS1_B","SKS2_B","IPS1_M","IPS2_KM","LLW_1"
"P","FISIKA","G1","SD","PDG","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"P","FISIKA","G1","SMTA","LL","GRD","SKS1_B","SKS2_B","IPS1_SM","IPS2_M","LLW_2"
"P","FISIKA","G1","SMP","LL","BPN","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LTW"
"P","FISIKA","G3","SRJN","LL","GRD","SKS1_B","SKS2_B","IPS1_SM","IPS2_M","LTW"
"L","FISIKA","G2","SMTA","BPN","BPN","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"L","FISIKA","G3","SRJN","GRD","PDG","SKS1_B","SKS2_B","IPS1_M","IPS2_KM","LLW_1"
"P","FISIKA","G2","SMTA","PDG","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"P","FISIKA","G1","SD","BPN","BPN","SKS1_B","SKS2_B","IPS1_KM","IPS2_M","LLW_1"
"P","FISIKA","G2","LL","PDG","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"L","FISIKA","G2","SD","PDG","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"P","FISIKA","G3","SD","LL","PNS","SKS1_B","SKS2_B","IPS1_M","IPS2_SM","LTW"
"L","FISIKA","G2","LL","PDG","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_2"
"P","FISIKA","G2","SD","LL","BPN","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"L","FISIKA","G3","SRJN","GRD","PSN","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"L","FISIKA","G2","SMTA","PDG","GRD","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_2"
"L","FISIKA","G1","LL","BPN","BPN","SKS1_B","SKS2_B","IPS1_KM","IPS2_M","LLW_1"
"P","FISIKA","G3","SMTA","GRD","PSN","SKS1_B","SKS2_B","IPS1_M","IPS2_KM","LLW_1"
"P","FISIKA","G2","SRJN","GRD","GRD","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"P","FISIKA","G2","SRJN","PDG","PDG","SKS1_B","SKS2_C","IPS1_KM","IPS2_KM","LLW_1"
"P","FISIKA","G4","SMTA","PDG","GRD","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"P","FISIKA","G2","SRJN","GRD","PDG","SKS1_B","SKS2_C","IPS1_KM","IPS2_KM","LLW_1"
"P","FISIKA","G4","SRJN","GRD","PNS","SKS1_B","SKS2_B","IPS1_M","IPS2_M","LLW_1"
"P","FISIKA","G1","SD","LL","BPN","SKS1_B","SKS2_B","IPS1_SM","IPS2_M","LLW_1"
"P","FISIKA","G2","SMTA","PDG","PSN","SKS1_B","SKS2_B","IPS1_M","IPS2_M","LLW_1"
"P","FISIKA","G3","SMTA","GRD","PNS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"P","FISIKA","G1","SD","LL","LL","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LTW"
"L","FISIKA","G2","SD","LL","PS","SKS1_B","SKS2_B","IPS1_SM","IPS2_SM","LLW_2"
"P","FISIKA","G3","SMTA","LL","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_M","LTW"
"P","FISIKA","G3","SRJN","PNS","GRD","SKS1_B","SKS2_B","IPS1_SM","IPS2_CUM","LTW"
"L","FISIKA","G3","SRJN","GRD","GRD","SKS1_B","SKS2_B","IPS1_SM","IPS2_M","LTW"
"L","FISIKA","G2","LL","PDG","PDG","SKS1_B","SKS2_B","IPS1_SM","IPS2_SM","LLW_1"
"L","FISIKA","G3","SRJN","PDG","LL","SKS1_B","SKS2_C","IPS1_KM","IPS2_KM","LLW_2"
"P","FISIKA","G3","SD","PDG","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_M","LLW_1"
"L","FISIKA","G3","SD","LL","PS","SKS1_B","SKS2_B","IPS1_SM","IPS2_KM","LLW_2"
"P","FISIKA","G1","SD","LL","PDG","SKS1_B","SKS2_B","IPS1_SM","IPS2_M","LLW_1"
"P","FISIKA","G3","SMTA","LL","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"P","FISIKA","G1","SD","LL","BPN","SKS1_B","SKS2_B","IPS1_KM","IPS2_M","LLW_1"
"L","FISIKA","G2","SMTA","BPN","BPN","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_2"
"P","FISIKA","G1","SMP","LL","LL","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"P","FISIKA","G2","LL","BPN","BPN","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"L","FISIKA","G1","SMTA","LL","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"P","FISIKA","G3","SMTA","LL","PNS","SKS1_B","SKS2_B","IPS1_KM","IPS2_M","LLW_1"
"P","FISIKA","G3","SMTA","LL","GRD","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_2"
"L","FISIKA","G4","SRJN","GRD","PNS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"P","FISIKA","G3","SMTA","PS","PS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"L","FISIKA","G2","SMTA","PDG","PDG","SKS1_B","SKS2_B","IPS1_M","IPS2_KM","LLW_1"
"P","FISIKA","G1","SD","PDG","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_2"
"L","FISIKA","G2","SRJN","GRD","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LTW"
"P","FISIKA","G1","SD","BPN","BPN","SKS1_B","SKS2_B","IPS1_M","IPS2_KM","LLW_1"
"P","FISIKA","G4","SMP","BPN","GRD","SKS1_B","SKS2_C","IPS1_KM","IPS2_KM","LLW_1"
"P","FISIKA","G2","SMTA","PDG","PDG","SKS1_B","SKS2_B","IPS1_SM","IPS2_M","LTW"
"P","FISIKA","G1","SMP","LL","BPN","SKS1_B","SKS2_B","IPS1_M","IPS2_SM","LTW"
"L","FISIKA","G4","SRJN","GRD","LL","SKS1_B","SKS2_B","IPS1_SM","IPS2_CUM","LTW"
"P","FISIKA","G4","SRJN","PDG","GRD","SKS1_B","SKS2_B","IPS1_SM","IPS2_M","LTW"
"P","FISIKA","G1","SMTA","PDG","BPN","SKS1_B","SKS2_B","IPS1_M","IPS2_SM","LTW"
"L","FISIKA","G2","LL","BPN","BPN","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_2"
"L","FISIKA","G3","SMTA","PSN","PSN","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_2"
"P","FISIKA","G4","SMTA","LL","PNS","SKS1_B","SKS2_C","IPS1_KM","IPS2_KM","LLW_1"
"L","FISIKA","G2","SMP","PDG","PS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"P","FISIKA","G2","SD","LL","PS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"L","FISIKA","G4","SMTA","LL","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"P","FISIKA","G2","SD","LL","BPN","SKS1_B","SKS2_B","IPS1_M","IPS2_SM","LTW"
"P","FISIKA","G4","SRJN","GRD","GRD","SKS1_B","SKS2_B","IPS1_M","IPS2_KM","LLW_1"
"L","FISIKA","G3","SMP","LL","PNS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_2"
"P","FISIKA","G1","SD","BPN","BPN","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LTW"
"P","FISIKA","G5","SRJN","LL","PNS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LTW"
"P","FISIKA","G1","SD","BPN","BPN","SKS1_B","SKS2_B","IPS1_M","IPS2_SM","LTW"
"L","FISIKA","G3","LL","BPN","PNS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_2"
"P","FISIKA","G1","SRJN","LL","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_2"
"L","FISIKA","G2","SMTA","PDG","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"P","FISIKA","G2","SMTA","LL","PS","SKS1_B","SKS2_B","IPS1_SM","IPS2_CUM","LTW"
"L","FISIKA","G2","LL","BPN","BPN","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_2"
"P","FISIKA","G2","SD","PDG","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LTW"
"L","FISIKA","G2","SMP","PDG","GRD","SKS1_B","SKS2_B","IPS1_SM","IPS2_SM","LTW"
"P","FISIKA","G3","SMTA","LL","GRD","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"L","FISIKA","G3","SD","PDG","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_M","LTW"
"L","FISIKA","G5","SRJN","GRD","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_2"
"P","FISIKA","G2","SMTA","PDG","PSN","SKS1_B","SKS2_B","IPS1_M","IPS2_M","LLW_1"
"P","FISIKA","G3","SRJN","GRD","PSN","SKS1_B","SKS2_B","IPS1_M","IPS2_M","LLW_1"
"P","FISIKA","G4","SMTA","LL","PNS","SKS1_B","SKS2_B","IPS1_M","IPS2_M","LLW_1"
"L","FISIKA","G4","SMTA","PDG","PS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_2"
"L","FISIKA","G1","SD","PDG","PDG","SKS1_B","SKS2_B","IPS1_M","IPS2_KM","LLW_1"
"P","FISIKA","G1","SD","BPN","BPN","SKS1_B","SKS2_B","IPS1_M","IPS2_M","LTW"
"L","FISIKA","G4","SMTA","PDG","PNS","SKS1_B","SKS2_B","IPS1_M","IPS2_SM","LTW"
"P","FISIKA","G4","SD","PDG","GRD","SKS1_B","SKS2_B","IPS1_SM","IPS2_SM","LLW_1"
"P","FISIKA","G4","SMTA","LL","PNS","SKS1_B","SKS2_B","IPS1_SM","IPS2_M","LLW_1"
"P","FISIKA","G2","LL","BPN","BPN","SKS1_B","SKS2_B","IPS1_KM","IPS2_M","LLW_1"
"P","FISIKA","G3","SMTA","PDG","PNS","SKS1_B","SKS2_B","IPS1_M","IPS2_KM","LLW_1"
"P","FISIKA","G2","SD","BPN","LL","SKS1_B","SKS2_B","IPS1_M","IPS2_KM","LLW_1"
"P","FISIKA","G5","SMTA","PDG","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LTW"
"P","FISIKA","G1","SMTA","BPN","BPN","SKS1_B","SKS2_B","IPS1_KM","IPS2_M","LLW_2"
"L","FISIKA","G2","SD","LL","LL","SKS1_B","SKS2_B","IPS1_M","IPS2_M","LLW_1"
"L","FISIKA","G2","SMTA","PDG","BPN","SKS1_B","SKS2_B","IPS1_M","IPS2_KM","LTW"
"L","FISIKA","G2","SD","BPN","BPN","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"P","FISIKA","G2","SMTA","PS","PS","SKS1_B","SKS2_B","IPS1_M","IPS2_KM","LTW"
"P","FISIKA","G2","SD","LL","BPN","SKS1_B","SKS2_B","IPS1_CUM","IPS2_CUM","LTW"
"P","FISIKA","G2","LL","BPN","BPN","SKS1_B","SKS2_B","IPS1_M","IPS2_SM","LLW_1"
"P","FISIKA","G2","SD","BPN","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_SM","LLW_1"
"L","FISIKA","G3","SMTA","PDG","PDG","SKS1_B","SKS2_B","IPS1_M","IPS2_KM","LTW"
"P","FISIKA","G2","SD","BPN","BPN","SKS1_B","SKS2_B","IPS1_SM","IPS2_CUM","LLW_1"
"L","FISIKA","G3","SMTA","LL","GRD","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_2"
"L","FISIKA","G3","SRJN","PDG","GRD","SKS1_B","SKS2_B","IPS1_CUM","IPS2_CUM","LTW"
"P","FISIKA","G2","SD","LL","PDG","SKS1_B","SKS2_B","IPS1_SM","IPS2_M","LLW_1"
"P","FISIKA","G3","LL","PDG","PDG","SKS1_B","SKS2_B","IPS1_M","IPS2_KM","LLW_1"
"P","FISIKA","G3","SRJN","PSN","PSN","SKS1_B","SKS2_B","IPS1_M","IPS2_M","LLW_1"
"L","FISIKA","G5","SRJN","PS","PS","SKS1_B","SKS2_B","IPS1_KM","IPS2_M","LLW_1"
"L","FISIKA","G4","SMTA","LL","LL","SKS1_B","SKS2_B","IPS1_KM","IPS2_M","LTW"
"L","FISIKA","G2","SMTA","PDG","PDG","SKS1_B","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"L","FISIKA","G4","SMP","LL","PDG","SKS1_B","SKS2_B","IPS1_SM","IPS2_M","LLW_1"
"L","FISIKA","G3","SMTA","LL","LL","SKS1_B","SKS2_B","IPS1_KM","IPS2_CUM","LTW"
"L","FISIKA","G3","SMTA","BPN","PDG","SKS1_B","SKS2_B","IPS1_M","IPS2_KM","LLW_2"
"L","FISIKA","G4","SRJN","GRD","PSN","SKS1_B","SKS2_B","IPS1_M","IPS2_M","LTW"
"P","FISIKA","G4","SRJN","PS","PS","SKS1_B","SKS2_SB","IPS1_M","IPS2_SM","LTW"
"L","FISIKA","G2","SMTA","GRD","LL","SKS1_B","SKS2_B","IPS1_SM","IPS2_CUM","LTW"
"P","FISIKA","G3","SMTA","LL","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_M","LLW_1"
"L","FISIKA","G3","SMTA","PNS","BPN","SKS1_B","SKS2_B","IPS1_M","IPS2_M","LTW"
"P","FISIKA","G4","SD","BPN","BPN","SKS1_B","SKS2_B","IPS1_SM","IPS2_CUM","LTW"
"P","FISIKA","G3","SMP","PNS","BPN","SKS1_B","SKS2_B","IPS1_SM","IPS2_CUM","LTW"
"L","FISIKA","G1","LL","BPN","BPN","SKS1_B","SKS2_B","IPS1_M","IPS2_SM","LTW"
"P","FISIKA","G3","SMP","LL","PS","SKS1_B","SKS2_SB","IPS1_CUM","IPS2_SM","LLW_1"
"P","FISIKA","G2","SMP","PDG","LL","SKS1_B","SKS2_B","IPS1_SM","IPS2_M","LLW_1"
"P","FISIKA","G3","SMTA","PS","PS","SKS1_B","SKS2_B","IPS1_SM","IPS2_M","LTW"
"P","FISIKA","G3","SD","LL","PDG","SKS1_B","SKS2_B","IPS1_M","IPS2_SM","LTW"
"L","FISIKA","G4","SRJN","PNS","LL","SKS1_B","SKS2_B","IPS1_M","IPS2_KM","LLW_1"
"L","FISIKA","G5","SRJN","GRD","PNS","SKS1_B","SKS2_SB","IPS1_M","IPS2_CUM","LTW"
"L","FISIKA","G2","SMP","LL","BPN","SKS1_B","SKS2_B","IPS1_M","IPS2_SM","LTW"
"P","FISIKA","G3","SRJN","PNS","BPN","SKS1_B","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"L","FISIKA","G3","SMTA","LL","PS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"P","FISIKA","G2","SMP","BPN","BPN","SKS1_B","SKS2_SB","IPS1_SM","IPS2_CUM","LTW"
"L","FISIKA","G4","SRJN","LL","PNS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"P","FISIKA","G3","SMTA","LL","PDG","SKS1_B","SKS2_B","IPS1_M","IPS2_M","LLW_2"
"L","FISIKA","G4","SMTA","PDG","PNS","SKS1_B","SKS2_B","IPS1_KM","IPS2_M","LTW"
